Source File Name,filename,Class ID,Class Name,fold
17548__A.wav,1_10101.wav,1,Fire,1
17548_B.wav,1_10102.wav,1,Fire,5
17548_C.wav,1_10103.wav,1,Fire,1
17548_D.wav,1_10104.wav,1,Fire,1
17548_E.wav,1_10105.wav,1,Fire,3
17548_F.wav,1_10106.wav,1,Fire,5
17548_G.wav,1_10107.wav,1,Fire,2
17548_H.wav,1_10108.wav,1,Fire,1
17717_A.wav,1_10109.wav,1,Fire,5
17717_B.wav,1_10110.wav,1,Fire,5
17717_C.wav,1_10111.wav,1,Fire,3
17717_D.wav,1_10112.wav,1,Fire,3
61311_A.wav,1_10113.wav,1,Fire,4
61311_B.wav,1_10114.wav,1,Fire,2
61311_C.wav,1_10115.wav,1,Fire,1
61311_D.wav,1_10116.wav,1,Fire,2
61311_E.wav,1_10117.wav,1,Fire,1
61311_F.wav,1_10118.wav,1,Fire,3
61311_G.wav,1_10119.wav,1,Fire,4
61311_H.wav,1_10120.wav,1,Fire,5
61311_I.wav,1_10121.wav,1,Fire,3
74963_A.wav,1_10122.wav,1,Fire,3
74963_B.wav,1_10123.wav,1,Fire,2
74963_C.wav,1_10124.wav,1,Fire,3
74963_D.wav,1_10125.wav,1,Fire,4
74963_E.wav,1_10126.wav,1,Fire,3
74963_F.wav,1_10127.wav,1,Fire,1
74963_G.wav,1_10128.wav,1,Fire,4
74963_H.wav,1_10129.wav,1,Fire,4
74963_I.wav,1_10130.wav,1,Fire,3
104956_A.wav,1_10131.wav,1,Fire,4
104956_B.wav,1_10132.wav,1,Fire,4
104956_C.wav,1_10133.wav,1,Fire,2
104956_D.wav,1_10134.wav,1,Fire,5
104956_E.wav,1_10135.wav,1,Fire,2
253770_A.wav,1_10136.wav,1,Fire,5
253770_B.wav,1_10137.wav,1,Fire,1
253770_C.wav,1_10138.wav,1,Fire,4
253770_D.wav,1_10139.wav,1,Fire,1
253770_E.wav,1_10140.wav,1,Fire,2
253770_F.wav,1_10141.wav,1,Fire,3
253770_G.wav,1_10142.wav,1,Fire,1
253770_H.wav,1_10143.wav,1,Fire,5
363092_A.wav,1_10144.wav,1,Fire,1
363092_B.wav,1_10145.wav,1,Fire,3
363092_C.wav,1_10146.wav,1,Fire,5
363092_D.wav,1_10147.wav,1,Fire,4
363092_E.wav,1_10148.wav,1,Fire,4
363092_F.wav,1_10149.wav,1,Fire,5
393436_A.wav,1_10150.wav,1,Fire,2
393436_B.wav,1_10151.wav,1,Fire,2
393436_C.wav,1_10152.wav,1,Fire,3
393436_D.wav,1_10153.wav,1,Fire,2
393436_E.wav,1_10154.wav,1,Fire,4
408531_A.wav,1_10155.wav,1,Fire,2
408531_B.wav,1_10156.wav,1,Fire,3
408531_C.wav,1_10157.wav,1,Fire,5
408531_D.wav,1_10158.wav,1,Fire,4
408531_E.wav,1_10159.wav,1,Fire,1
408531_F.wav,1_10160.wav,1,Fire,3
408531_G.wav,1_10161.wav,1,Fire,5
408531_H.wav,1_10162.wav,1,Fire,4
414767_A.wav,1_10163.wav,1,Fire,5
414767_B.wav,1_10164.wav,1,Fire,3
414767_C.wav,1_10165.wav,1,Fire,2
418274_A.wav,1_10166.wav,1,Fire,1
483311_A.wav,1_10167.wav,1,Fire,4
483311_B.wav,1_10168.wav,1,Fire,2
483311_C.wav,1_10169.wav,1,Fire,1
499032_A.wav,1_10170.wav,1,Fire,2
499032_B.wav,1_10171.wav,1,Fire,2
532191_A.wav,1_10172.wav,1,Fire,5
532191_B.wav,1_10173.wav,1,Fire,5
532191_C.wav,1_10174.wav,1,Fire,1
532191_D.wav,1_10175.wav,1,Fire,4
34065.wav,2_10201.wav,2,Rain,4
34066.wav,2_10202.wav,2,Rain,5
34067.wav,2_10203.wav,2,Rain,3
